query_id,query,seed_intent,language_guess,reviewer_1_intent,reviewer_2_intent,adjudicated_intent,entity_review,review_status,notes
Q-0030,What is the exam date for CSC-211?,exam_schedule,english_or_roman_urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0031,Exam dates kab hain?,exam_schedule,english_or_roman_urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0032,Show the terminal examination schedule,exam_schedule,english_or_roman_urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0033,What are the MPhil thesis requirements?,thesis_information,english_or_roman_urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0034,Explain the PhD thesis submission process,thesis_information,english_or_roman_urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0035,MPhil thesis ka procedure kya hai?,thesis_information,english_or_roman_urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0036,What documents are needed after the thesis viva?,thesis_information,english_or_roman_urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0037,What is the course exemption policy?,course_exemption,english_or_roman_urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0038,Can I transfer credits from another university?,course_exemption,english_or_roman_urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0039,BS course exemption ke rules kya hain?,course_exemption,english_or_roman_urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0040,How many credits can be exempted?,course_exemption,english_or_roman_urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0041,What is the BSCS degree requirement?,degree_requirement,english_or_roman_urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0042,How many credits are required to graduate?,degree_requirement,english_or_roman_urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0043,BSCS complete karne ke liye kya zaroori hai?,degree_requirement,english_or_roman_urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0044,What are the requirements for the BS degree?,degree_requirement,english_or_roman_urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0045,What is the minimum CGPA for good standing?,gpa_requirement,english_or_roman_urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0046,What is the grading scale?,gpa_requirement,english_or_roman_urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0047,Minimum CGPA kitni honi chahiye?,gpa_requirement,english_or_roman_urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0048,How are marks converted to grade points?,gpa_requirement,english_or_roman_urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0049,What happens if my CGPA is below 2?,probation_rule,english_or_roman_urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0050,When is a student put on probation?,probation_rule,english_or_roman_urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0051,Academic probation ka rule kya hai?,probation_rule,english_or_roman_urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0052,How many probation chances are allowed?,probation_rule,english_or_roman_urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0053,Tell me about the BS Computer Science program,program_information,english_or_roman_urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0054,What programs does the CS department offer?,program_information,english_or_roman_urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0055,Is there an MS Data Science program?,program_information,english_or_roman_urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0056,MPhil aur PhD programs ki information chahiye,program_information,english_or_roman_urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0057,Which semester is this course offered?,semester_information,english_or_roman_urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0058,How long is the BSCS degree?,semester_information,english_or_roman_urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0059,BSCS mein kitne semesters hain?,semester_information,english_or_roman_urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0060,What is the normal program duration?,semester_information,english_or_roman_urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0061,What is a greeting?,greeting,english_or_roman_urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0062,Hello, greeting,english_or_roman_urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0063,Assalam o Alaikum, greeting,english_or_roman_urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0064,Hi academic advisor, greeting,english_or_roman_urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0065,What can you help me with?,help,english_or_roman_urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0066,Show me the available services,help,english_or_roman_urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0067,How can this advisor help?,help,english_or_roman_urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0068,Mujhe madad chahiye,help,english_or_roman_urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0069,What is the weather today?,fallback,english_or_roman_urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0070,Write my assignment for me,fallback,english_or_roman_urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0071,Tell me a joke,fallback,english_or_roman_urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0072,I have a question not listed here,fallback,english_or_roman_urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0073,مشین لرننگ کی prerequisite کیا ہے؟,course_prerequisite,urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0074,CSC-483 کے لیے کون سا کورس پہلے پاس کرنا ہے؟,course_prerequisite,urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0075,رجسٹریشن کی آخری تاریخ کیا ہے؟,registration_deadline,urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0076,میں ایک سمسٹر میں کتنے کریڈٹ آورز لے سکتا ہوں؟,credit_hour_limit,urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0077,بی ایس سی ایس کی فیس کتنی ہے؟,fee_information,urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0078,CSC-211 کا ٹائم ٹیبل دکھائیں,timetable_query,urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0079,ایم فل تھیسس جمع کروانے کا طریقہ کیا ہے؟,thesis_information,urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0080,اکیڈمک پروبیشن کا اصول کیا ہے؟,probation_rule,urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0081,سلام، مجھے مدد چاہیے,greeting,urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0082,مجھے کورسز اور فیس کے بارے میں معلومات چاہیے,help,urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0083,What is the prerequisite for Machine Learning?,course_prerequisite,english_or_roman_urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0084,Can I take CSC-483 without Software Construction?,course_prerequisite,english_or_roman_urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0085,CSC-486 ki prerequisite kya hai?,course_prerequisite,english_or_roman_urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0086,Which course must I pass before Artificial Intelligence?,course_prerequisite,english_or_roman_urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0087,Tell me about CSC-211,course_information,english_or_roman_urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0088,How many credit hours is Data Structures?,course_information,english_or_roman_urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0089,What is the course description of Computer Networks?,course_information,english_or_roman_urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0090,CSC-224 ka course kya hai?,course_information,english_or_roman_urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0091,How do I register for courses?,registration_process,english_or_roman_urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0092,What is the procedure for semester registration?,registration_process,english_or_roman_urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0093,Courses register karne ka tareeqa kya hai?,registration_process,english_or_roman_urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0094,How can a student add or drop a course?,registration_process,english_or_roman_urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0095,When is the registration deadline?,registration_deadline,english_or_roman_urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0096,What is the last date for course registration?,registration_deadline,english_or_roman_urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0097,Registration ki last date kya hai?,registration_deadline,english_or_roman_urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0098,When does add drop close?,registration_deadline,english_or_roman_urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0099,How many credit hours can I take in one semester?,credit_hour_limit,english_or_roman_urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0100,What is the normal semester workload for BSCS?,credit_hour_limit,english_or_roman_urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0101,BSCS mein kitne credit hours le sakte hain?,credit_hour_limit,english_or_roman_urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0102,Can I take 21 credits this semester?,credit_hour_limit,english_or_roman_urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0103,How much is the BSCS semester fee?,fee_information,english_or_roman_urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0104,What are the morning program fees?,fee_information,english_or_roman_urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0105,BS ki semester fee kitni hai?,fee_information,english_or_roman_urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0106,Tell me the Fall 2025 MPhil fee,fee_information,english_or_roman_urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0107,What is the timetable for CSC-312?,timetable_query,english_or_roman_urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0108,When is my Computer Networks class?,timetable_query,english_or_roman_urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0109,CSC-224 ka timetable dikha dein,timetable_query,english_or_roman_urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0110,Show the class schedule for my course,timetable_query,english_or_roman_urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0111,When are the final exams?,exam_schedule,english_or_roman_urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0112,What is the exam date for CSC-211?,exam_schedule,english_or_roman_urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0113,Exam dates kab hain?,exam_schedule,english_or_roman_urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0114,Show the terminal examination schedule,exam_schedule,english_or_roman_urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0115,What are the MPhil thesis requirements?,thesis_information,english_or_roman_urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0116,Explain the PhD thesis submission process,thesis_information,english_or_roman_urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0117,MPhil thesis ka procedure kya hai?,thesis_information,english_or_roman_urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0118,What documents are needed after the thesis viva?,thesis_information,english_or_roman_urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0119,What is the course exemption policy?,course_exemption,english_or_roman_urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0120,Can I transfer credits from another university?,course_exemption,english_or_roman_urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0121,BS course exemption ke rules kya hain?,course_exemption,english_or_roman_urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0122,How many credits can be exempted?,course_exemption,english_or_roman_urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0123,What is the BSCS degree requirement?,degree_requirement,english_or_roman_urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0124,How many credits are required to graduate?,degree_requirement,english_or_roman_urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0125,BSCS complete karne ke liye kya zaroori hai?,degree_requirement,english_or_roman_urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0126,What are the requirements for the BS degree?,degree_requirement,english_or_roman_urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0127,What is the minimum CGPA for good standing?,gpa_requirement,english_or_roman_urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0128,What is the grading scale?,gpa_requirement,english_or_roman_urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0129,Minimum CGPA kitni honi chahiye?,gpa_requirement,english_or_roman_urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0130,How are marks converted to grade points?,gpa_requirement,english_or_roman_urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0131,What happens if my CGPA is below 2?,probation_rule,english_or_roman_urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0132,When is a student put on probation?,probation_rule,english_or_roman_urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0133,Academic probation ka rule kya hai?,probation_rule,english_or_roman_urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0134,How many probation chances are allowed?,probation_rule,english_or_roman_urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0135,Tell me about the BS Computer Science program,program_information,english_or_roman_urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0136,What programs does the CS department offer?,program_information,english_or_roman_urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0137,Is there an MS Data Science program?,program_information,english_or_roman_urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0138,MPhil aur PhD programs ki information chahiye,program_information,english_or_roman_urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0139,Which semester is this course offered?,semester_information,english_or_roman_urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0140,How long is the BSCS degree?,semester_information,english_or_roman_urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0141,BSCS mein kitne semesters hain?,semester_information,english_or_roman_urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0142,What is the normal program duration?,semester_information,english_or_roman_urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0143,What is a greeting?,greeting,english_or_roman_urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0144,Hello, greeting,english_or_roman_urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0145,Assalam o Alaikum, greeting,english_or_roman_urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0146,Hi academic advisor, greeting,english_or_roman_urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0147,What can you help me with?,help,english_or_roman_urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0148,Show me the available services,help,english_or_roman_urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0149,How can this advisor help?,help,english_or_roman_urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0150,Mujhe madad chahiye,help,english_or_roman_urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0151,What is the weather today?,fallback,english_or_roman_urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0152,Write my assignment for me,fallback,english_or_roman_urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0153,Tell me a joke,fallback,english_or_roman_urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0154,I have a question not listed here,fallback,english_or_roman_urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0155,مشین لرننگ کی prerequisite کیا ہے؟,course_prerequisite,urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0156,CSC-483 کے لیے کون سا کورس پہلے پاس کرنا ہے؟,course_prerequisite,urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0157,رجسٹریشن کی آخری تاریخ کیا ہے؟,registration_deadline,urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0158,میں ایک سمسٹر میں کتنے کریڈٹ آورز لے سکتا ہوں؟,credit_hour_limit,urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0159,بی ایس سی ایس کی فیس کتنی ہے؟,fee_information,urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0160,CSC-211 کا ٹائم ٹیبل دکھائیں,timetable_query,urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0161,ایم فل تھیسس جمع کروانے کا طریقہ کیا ہے؟,thesis_information,urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0162,اکیڈمک پروبیشن کا اصول کیا ہے؟,probation_rule,urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0163,سلام، مجھے مدد چاہیے,greeting,urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0164,مجھے کورسز اور فیس کے بارے میں معلومات چاہیے,help,urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0165,What is the prerequisite for Machine Learning?,course_prerequisite,english_or_roman_urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0166,Can I take CSC-483 without Software Construction?,course_prerequisite,english_or_roman_urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0167,CSC-486 ki prerequisite kya hai?,course_prerequisite,english_or_roman_urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0168,Which course must I pass before Artificial Intelligence?,course_prerequisite,english_or_roman_urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0169,Tell me about CSC-211,course_information,english_or_roman_urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0170,How many credit hours is Data Structures?,course_information,english_or_roman_urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0171,What is the course description of Computer Networks?,course_information,english_or_roman_urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0172,CSC-224 ka course kya hai?,course_information,english_or_roman_urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0173,How do I register for courses?,registration_process,english_or_roman_urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0174,What is the procedure for semester registration?,registration_process,english_or_roman_urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0175,Courses register karne ka tareeqa kya hai?,registration_process,english_or_roman_urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0176,How can a student add or drop a course?,registration_process,english_or_roman_urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0177,When is the registration deadline?,registration_deadline,english_or_roman_urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0178,What is the last date for course registration?,registration_deadline,english_or_roman_urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0179,Registration ki last date kya hai?,registration_deadline,english_or_roman_urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0180,When does add drop close?,registration_deadline,english_or_roman_urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0181,How many credit hours can I take in one semester?,credit_hour_limit,english_or_roman_urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0182,What is the normal semester workload for BSCS?,credit_hour_limit,english_or_roman_urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0183,BSCS mein kitne credit hours le sakte hain?,credit_hour_limit,english_or_roman_urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0184,Can I take 21 credits this semester?,credit_hour_limit,english_or_roman_urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0185,How much is the BSCS semester fee?,fee_information,english_or_roman_urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0186,What are the morning program fees?,fee_information,english_or_roman_urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0187,BS ki semester fee kitni hai?,fee_information,english_or_roman_urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0188,Tell me the Fall 2025 MPhil fee,fee_information,english_or_roman_urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0189,What is the timetable for CSC-312?,timetable_query,english_or_roman_urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0190,When is my Computer Networks class?,timetable_query,english_or_roman_urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0191,CSC-224 ka timetable dikha dein,timetable_query,english_or_roman_urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0192,Show the class schedule for my course,timetable_query,english_or_roman_urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0193,When are the final exams?,exam_schedule,english_or_roman_urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0194,What is the exam date for CSC-211?,exam_schedule,english_or_roman_urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0195,Exam dates kab hain?,exam_schedule,english_or_roman_urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
